tweets,favorites,followers,friends,listed,fav,rt
22085,6409,853,1815,10,8,1
872153,78090,129682,1187,339,0,23
57857,57503,769,723,39,0,30
45750,525,168,134,17,3,0
29111,32401,3152,3457,85,1,0
1016,567,37,88,3,1,0
21899,11570,609,1003,29,3,0
260353,34675,5167,5601,188,4,0
79950,103268,856,4154,20,1,0
36202,11293,721,162,34,0,30
76709,42361,948,2369,52,3,0
26054,77411,718,3621,33,0,0
11500,544,2931,2020,30,0,30
14737,2140,369,257,7,7,1
18956,10912,544,739,13,5,0
20182,15442,375,115,9,2,0
27679,13979,790,1096,35,0,30
19949,21550,718,767,76,0,0
8996,12918,385,226,0,0,30
7459,2345,151,530,4,0,0
260014,105022,4065,1442,107,3,0
34712,6011,3551,746,205,0,71
1645,3218,98,219,5,5,1
9060,3580,62883,565,363,147,30
147277,824,1243,1906,117,1,0
79950,103268,856,4154,20,1,0
1517,7601,487,767,1,0,1
8637,3986,113,69,2,3,0
18139,30872,395,290,21,1,0
3744,1582,19,2,0,0,0
76709,42361,948,2369,52,0,0
4194,1306,1649,2479,37,1,0
9376,8579,8013,143,139,0,1
1315,2387,96,123,3,5,1
239826,5750,11760,199,409,4,0
3507,1482,330,1014,39,0,23
4306,1098,54,452,2,0,0
260014,105022,4065,1442,107,1,0
24092,1281,152,266,9,2,0
16882,3578,852,408,9,3,0
9376,8579,8013,143,139,0,23
36202,11293,721,162,34,0,9
10323,36127,658,686,21,0,9
9376,8579,8013,143,139,0,95
75351,52785,1247,4946,26,0,7
1320,493,92,423,0,0,23
260353,34675,5167,5601,188,2,0
18111,11771,398,1374,4,0,38
9376,8579,8013,143,139,0,42
36202,11293,721,162,34,0,23
19949,21550,718,767,76,3,0
8637,3986,113,69,2,0,23
73350,124142,1984,3026,81,0,7
17436,5011,6173,6510,147,0,23
8895,6286,495,816,14,0,0
45326,37179,3560,5001,115,1,1
467,1207,11,78,0,0,3
8996,12918,385,226,0,0,23
13713,20388,446,1054,71,0,0
27679,13979,790,1096,35,0,23
21899,11570,609,1003,29,2,0
7775,8650,3989,348,198,44,9
9060,3580,62883,565,363,164,23
18956,10912,544,739,13,3,0
4194,1306,1649,2479,37,0,0
2018,6545,977,576,3,1,0
10183,45886,404,820,9,0,95
1315,2387,96,123,3,3,0
9060,3580,62883,565,363,4,1
45326,37179,3560,5001,115,0,1
4306,1098,54,452,2,0,0
66655,66919,789,585,44,0,0
16882,3578,852,408,9,5,0
14737,2140,369,257,7,0,0
5605,2604,68,127,5,0,0
50871,1174,276,973,49,0,5
7459,2345,151,530,4,1,0
1943,4171,176,668,4,1,0
2487,3007,24,159,9,0,0
73350,124142,1984,3026,81,0,2
20544,54013,177,97,22,0,0
1976,1009,119,156,8,1,0
29111,32401,3152,3457,85,0,0
21899,11570,609,1003,29,1,1
35757,55651,621,971,18,0,1
92456,5256,792,314,77,7,1
25760,511,200,372,10,0,0
30355,71604,440,970,52,1,0
76709,42361,948,2369,52,2,1
3507,1482,330,1014,39,1,0
79950,103268,856,4154,20,1,0
41584,29465,900,593,36,2,0
3243,18668,157,144,6,1,0
932,1276,33,136,0,0,0
52636,16900,1374,982,60,5,0
260014,105022,4065,1442,107,2,0
18956,10912,544,739,13,6,0
260353,34675,5167,5601,188,1,0
16882,3578,852,408,9,4,0
4306,1098,54,452,2,0,0
30355,71604,440,970,52,1,0
73350,124142,1984,3026,81,11,4
10943,571,361,529,13,1,0
184621,967,945,556,42,2,0
20182,15442,375,115,9,2,0
4105,26499,354,2015,4,0,42
12387,6497,167,768,12,1,0
33201,102475,735,701,31,6,1
3129,9926,41264,249,264,0,7
5605,2604,68,127,5,1,0
34712,6011,3551,746,205,4,1
186,132,22,80,0,0,0
21899,11570,609,1003,29,0,0
8637,3986,113,69,2,1,0
29111,32401,3152,3457,85,0,0
45326,37179,3560,5001,115,3,0
45750,525,168,134,17,0,0
9023,1056,479,669,40,0,0
260014,105022,4065,1442,107,2,0
4766,14179,412,413,10,1,0
260353,34675,5167,5601,188,2,0
724,1462,83,366,0,1,0
3243,18668,157,144,6,0,0
5940,8620,753,1994,9,0,0
131445,100710,1580,547,50,0,95
79950,103268,856,4154,20,1,0
272270,53285,15453,7516,440,0,0
76709,42361,948,2369,52,1,0
34436,912,288,319,15,0,0
16882,3578,852,408,9,11,0
9060,3580,62883,565,363,2,0
13411,39566,5053,5062,36,1,0
13713,20388,446,1054,71,0,0
4371,2353,27,162,2,0,38
48,72,8,31,0,0,42
1850,3337,150,244,6,2,0
7459,2345,151,530,4,0,0
4306,1098,54,452,2,1,0
23903,33319,205,666,17,0,7
36202,11293,721,162,34,0,7
66655,66919,789,585,44,1,1
4766,14179,412,413,10,1,0
15039,3607,15854,1664,26,0,38
260353,34675,5167,5601,188,2,0
4419,2113,5058,1162,86,39,7
41584,29465,900,593,36,0,0
15039,3607,15854,1664,26,2,0
6093,21061,167,384,7,0,42
2305,5133,36,149,3,0,0
4371,2353,27,162,2,0,95
9023,1056,479,669,40,1,0
121,20430,221,133,4,0,95
14737,2140,369,257,7,0,0
18956,10912,544,739,13,0,2
11182,2887,407,658,21,0,95
991,1945,203,143,0,5,0
6093,21061,167,384,7,0,0
45326,37179,3560,5001,115,1,0
12815,3436,240,391,18,0,38
44149,20302,1807,1654,37,0,2
467,1207,11,78,0,0,0
6185,3838,152,259,2,0,0
389,816,47,269,1,3,0
2301,16,21,55,0,0,0
4173,13887,1203,1178,4,0,0
2865,6289,1411,134,19,8,0
5589,24,587,326,25,2,0
260353,34675,5167,5601,188,1,0
73350,124142,1984,3026,81,2,0
54372,2458,846,2191,60,0,0
255284,69337,2411,3133,110,0,95
8637,3986,113,69,2,5,0
3227,5366,149,312,3,0,1
26509,86059,183,656,10,0,4
50688,6811,1667,1554,112,4,0
1099,5198,257,670,1,0,95
197,1248,10,95,0,0,0
7775,8650,3989,348,198,19,1
7775,8650,3989,348,198,2,0
4306,1098,54,452,2,3,0
14737,2140,369,257,7,0,0
2301,16,21,55,0,0,1
3617,32,523,83,9,3,0
21899,11570,609,1003,29,2,0
12815,3436,240,391,18,0,95
6292,20229,916,1023,42,0,0
12815,3436,240,391,18,0,43
1976,1009,119,156,8,2,0
6156,2960,61,299,2,1,0
30355,71604,440,970,52,4,0
14490,19744,791,790,20,2,0
15998,13280,751,759,41,2,0
36202,11293,721,162,34,1,0
906,28,7,20,2,2,0
321,6664,20,76,1,2,0
1850,3337,150,244,6,3,0
724,1462,83,366,0,4,0
260353,34675,5167,5601,188,1,0
1943,4171,176,668,4,44,9
33468,77660,953,768,33,3,0
3227,5366,149,312,3,0,42
11250,10479,464,534,18,2,0
6304,4566,177,469,4,6,0
8996,12918,385,226,0,0,42
2018,6545,977,576,3,1,0
35565,7295,1312,589,83,1,0
45326,37179,3560,5001,115,0,1
98418,94338,842,1287,58,0,42
4628,12852,504,1182,18,2,0
12815,3436,240,391,18,0,42
3129,9926,41264,249,264,0,3
16882,3578,852,408,9,4,0
25760,511,200,372,10,0,0
26054,77411,718,3621,33,0,0
149164,109563,1182,259,69,0,38
380,455,23,33,0,2,0
6093,21061,167,384,7,0,95
8996,12918,385,226,0,0,46
272270,53285,15453,7516,440,4,2
